Autism  Autism 299.0 299.00 299.01 299.9 299.8 299.91 299.90 299.80 299.81 299.1 299.10 299.11
Procedural  V20.2 V06.8 V30.00 V50.2 V57.1 V72.6 V72.2 V82.9 V03.81 V03.82 V05.4 V30.01 V72.19 V04.81 V05.3 V67.59 V15.88 V85.54 V06.1 V04.0 V29.8 V06.4 V04.89 V06.6 V67.9 V72.0 V54.89 V65.40 V06.3 V74.1 V54.12 V12.61 V72.12 V72.84 V71.89 V20.0 V65.5 V79.3 V82.5 V58.32 V72.83 V17.49 V30.1 V31.01 V15.86 V67.00 V29.9 V01.89 V15.02 V29.0 V65.3 V75.7 V20.32 V77.7 V29.3 V82.89 V05.8 V74.9 V03.89 V70.0 V05.9 V53.7 V54.19 V70.9 V06.5 V57.21 V57.3 V01.79 V72.60 V20.1 V19.8 V72.1 V78.0 V65.8 V20.31 V77.3 V04.8 V58.71 V70.5 V06.9 V68.09 V06.2 V80.3 V78.8 V15.05 V78.3 V71.4 V01.84 V78.1 V53.90 V77.91 V15.5 V15.03 V58.69 V80.2 V18.19 V03.2 V05.0 V64.00 V81.5 V58.3 V44.1 V58.81 V58.82 V12.6 V70.3 V03.6 V69.4 V17.5 V48.9 V13.02 V68.1 V72.5 V15.01 V41.2 V03.1 V41.0 V07.2 V74.8 V07.9 V15.06 V31.00 V34.01 V81.6 V64.2 V40.9 V72.11 V72.62 V58.30 V58.49 V77.1 V69.1 V03.9 V71.9 V54.9 V81.4 V13.7 V58.89 V72.69 V78.9 V72.85 V64.05 V04.2 V04.3 V04.6 V58.83 V12.01 V77.99 V01.9 V61.29 V55.1 V45.89 V07.0 V14.0 V21.2 V01.7 V07.31 V71.81 V40.3 V76.12 V54.11 V58.78 V70.1 V12.79 V15.09 V68.89 V72.81 V71.7 V71.02 V10.52 V04.82 V19.2 V15.1 V01.5 V04.5 V07.8 V04.4 V05.1 V57.89 V02.61 V12.49 V68.9 V01.1 V65.49 V17.4 V39.00 V02.59 V03.3 V82.3 V53.2 V58.43 V02.9 V41.6 V14.3 V70.2 V05.2 V18.0 V53.09 V61.20 V67.09 V85.53 V09.1 V40.1 V18.3 V19.1 V06.0 V33.01 V12.51 V03.5 V81.2 V07.1 V53.6 V73.89 V58.61 V43.1 V54.15 V67.4 V72.9 V02.1 V85.52 V58.11 V71.1 V21.9 V02.2 V09.0 V85.51 V71.09 V58.9 V79.8 V77.6 V14.1 V41.1 V21.8 V21.0 V62.3 V12.59 V71.5 V65.43 V58.62 V72.63 V44.0 V45.2 V50.3 V13.69 V72.82 V65.9 V54.01 V54.09 V54.13 V54.16 V02.51 V71.2 V45.51 V16.3 V02.4 V77.2 V58.31 V70.4 V44.2 V55.0 V02.0 V79.9 V10.81 V58.0 V67.2 V12.60 V44.52 V49.75 V72.31 V07.39 V67.51 V15.83 V61.9 V49.2 V19.6 V70.8 V02.60 V76.3 V72.7 V75.9 V82.6 V25.01 V30.2 V77.0 V24.1 V12.00 V54.10 V13.9 V55.4 V58.73 V66.5 V12.50 V49.89 V39.01 V15.89 V55.8 V62.4 V59.9 V61.8 V49.5 V58.74 V12.09
